numenq,sch_lev,farm_f,trad_f,exec_f,tech_f,whc_f,blc_f,noocc_f,farm_m,trad_m,exec_m,tech_m,whc_m,blc_m,noocc_m,orfr,oroecd,orother,foreign,late6,urban,male,age98,date_first,full_first,wage_first,employed_36,full_36,wage_36,experience_36,employed_60,full_60,wage_60,experience_60
211404,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,16,13,1,671,1,0,671,23,1,0,671,47
b12171,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,19,7,1,871,1,1,1100,29,1,1,1100,53
801904,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,18,18,1,1067,1,1,1220,4,1,1,1220,28
c06045,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,20,4,1,930,1,1,1000,32,1,1,1000,56
b01035,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,18,7,1,810,1,1,1067,29,1,1,1067,53
802072,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,17,28,,600,1,1,600,8,1,1,600,32
b16923,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,18,8,1,991,1,1,1174,28,1,1,1174,52
315590,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,18,7,1,1037,1,1,1289,29,1,1,1289,53
307592,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,18,7,1,854,1,1,1194,29,1,1,1448,53
800577,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,20,7,1,915,1,1,995,29,1,1,1067,53
803175,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,16,7,1,762,1,1,1143,29,1,1,800,53
219524,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,19,26,1,412,1,1,900,10,1,1,900,34
b07196,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,18,7,1,899,1,1,1143,29,1,1,991,53
305607,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,19,7,1,812,1,1,1161,29,1,1,1161,53
105487,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,18,13,0,621,1,1,1010,23,1,1,1010,47
b01351,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,18,7,1,1067,1,1,922,29,1,1,922,53
314448,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,19,12,1,915,1,1,2183,10,1,1,1250,34
104152,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,17,14,1,869,1,1,1069,20,1,1,1069,44
302542,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,17,19,1,810,1,1,810,17,1,1,1067,41
803080,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,21,14,1,838,1,1,762,22,1,1,762,46
c13978,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,18,17,1,1053,1,1,1092,19,1,1,1092,43
b09792,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,17,7,1,810,1,1,810,29,1,1,1098,49
802295,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,16,21,1,838,1,1,1238,9,1,1,1242,33
801301,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,16,28,1,1763,1,1,835,8,1,1,835,32
b00929,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,17,19,1,968,1,1,968,17,1,1,1252,30
c06689,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,18,33,1,991,1,1,991,3,1,1,1117,24
c07816,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,18,13,1,1067,1,1,1093,23,1,1,1220,44
c12232,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,18,3,0,2134,1,1,2134,33,1,1,2134,57
801230,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,20,7,1,810,1,1,1581,29,1,1,1601,53
b12187,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,19,7,1,875,1,1,1067,29,1,1,1067,53
212880,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,19,7,1,1441,1,1,1524,29,1,1,1524,53
a05693,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,18,7,1,932,1,1,932,29,1,1,762,53
801359,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,0,0,0,0,16,7,1,787,1,1,831,29,1,1,991,53
c16361,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,18,6,1,983,1,1,1143,27,1,1,1000,51
215799,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,18,31,1,810,1,1,810,4,1,0,1093,28
304494,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,19,11,1,838,1,1,1115,25,1,1,1115,49
b15960,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,18,7,1,949,1,1,855,29,1,1,855,53
218536,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,19,5,1,793,1,1,1700,31,1,1,1700,55
315977,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,20,18,1,869,1,1,1143,18,1,1,1143,42
a04531,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,18,13,1,793,1,1,793,23,1,1,1143,47
208492,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,18,15,1,1060,1,1,1090,21,1,1,1173,39
c09755,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,18,9,1,838,1,1,1053,27,1,1,1300,51
b15898,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,20,8,1,1067,1,1,1258,28,1,1,1258,52
217755,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,19,13,1,732,1,1,787,23,1,1,787,47
104623,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,19,9,1,845,1,1,1220,23,1,1,1300,36
c15300,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,18,9,1,854,1,1,920,27,1,1,920,51
b14387,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,18,7,1,762,1,1,1065,27,1,1,1098,51
c10850,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,18,23,1,898,1,0,898,13,1,0,898,37
216594,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,21,7,,884,1,1,884,29,1,1,884,53
206592,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,21,18,1,991,1,1,991,18,1,1,1037,42
222074,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,16,6,1,810,1,1,810,30,1,1,1067,54
803107,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,19,6,1,810,1,1,717,30,1,1,787,46
202243,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,17,21,1,526,1,1,602,15,1,1,1100,39
221412,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,16,7,1,991,1,1,1494,29,1,1,1494,53
101095,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,16,19,1,686,1,0,686,17,1,0,686,41
c06828,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,18,7,1,810,1,1,810,29,1,1,1200,53
202708,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,18,9,1,933,1,1,933,27,1,0,895,49
802085,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,17,7,1,915,1,1,1143,29,1,1,1143,53
302235,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,19,24,1,564,1,1,881,12,1,1,1200,36
302657,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,20,9,1,809,1,0,809,27,1,0,809,51
214759,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,17,9,1,793,1,1,1250,20,1,1,1138,44
305526,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,19,7,1,1037,1,1,928,17,1,1,928,41
b14097,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,18,8,1,1288,1,1,1204,20,1,1,1067,34
b07826,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,19,11,1,871,1,1,1190,25,1,1,1190,49
b03811,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,18,7,1,1372,1,1,1103,29,1,1,1119,53
205370,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,20,9,1,970,1,1,1026,27,1,1,1030,51
a05619,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,20,13,1,777,1,1,960,23,1,1,960,47
209364,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,21,28,1,1143,1,1,1372,8,1,1,1524,32
c06189,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,19,10,1,925,1,1,991,15,1,1,1300,31
215097,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,18,11,1,991,1,1,1100,12,1,1,1000,36
c14512,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,20,27,1,809,1,1,909,9,1,1,909,33
101080,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,21,7,1,854,1,1,787,14,1,1,787,38
b10963,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,20,12,1,810,1,1,1485,18,1,1,1050,27
